DATE,DRY,WET,MAX,MIN,GROUND,TWO_INCH,FOUR_INCH,STATE,RAIN,,,
01/01/1987,10.8,10.4,10.8,6.5,5.5,7.3,7.3,DAMP,12.2,,,
02/01/1987,6.1,5.3,10.5,4.5,1,6,6,DAMP,1.3,,,
03/01/1987,0.3,-0.6,7.5,-1,-6,4.5,5,FROZEN,0.1,,,
04/01/1987,6.7,6.1,6.5,-3.3,1.3,4,4.3,WET,1.1,,,
05/01/1987,6,4,10,5,0.5,5,5.5,DAMP,3.5,,,
06/01/1987,4.4,2,8,3,-1.5,4,4.5,DAMP,0.1,,,
07/01/1987,-1.5,-2.2,5.8,-3.3,-9,2.5,3.5,FROZEN,0,,,
08/01/1987,-3.8,-3,2.8,-5.5,-10,1.5,2,FROZEN,0,,,
09/01/1987,-0.5,-1,-0.8,-4.8,-7.3,1.5,2,FROZEN,0,,,
10/01/1987,1,0,1.5,-1,-4,2,2,FROZEN,0,,,
11/01/1987,-5.5,-6,1.5,-7.5,-13.5,-4.5,-4,FROZEN,0,,,
12/01/1987,-9,-9.1,-3.5,-11.5,-15.5,0,0.5,SNOW,0.7,,,
13/01/1987,-7,-7.5,-6.8,-11.3,-17.5,0,0,SNOW,0.3,,,
14/01/1987,-5,-5.3,-4.3,-7.5,-5.8,0,0.3,SNOW,5.3,,,
15/01/1987,-2,-3,-2,-5.5,-3.3,0,0.3,SNOW,0,,,
16/01/1987,0.9,0,0.8,-2.5,-2.5,0,0.5,SNOW,0,,,
17/01/1987,-1.5,-2,1,-2,-2.5,0,0.5,SNOW,0,,,
18/01/1987,-2,-2.5,-2,-3,-3.3,0.3,0.8,SNOW,0,,,
19/01/1987,-3,-3.1,-1,-3.8,-4,0.5,0.5,SNOW,0,,,
20/01/1987,0,-0.3,0,-3.8,-3.3,1,1,SNOW,0,,,
21/01/1987,2.9,2.3,2.8,-0.3,-0.5,1,1,SNOW,0,,,
22/01/1987,5,4.8,5.5,2.3,1,3,2.5,SNOW,0.7,,,
23/01/1987,5.5,5.1,6.8,4.8,1.3,4,3.5,DAMP,0.9,,,
24/01/1987,4.9,4,6.3,4,0.5,4.5,4.3,DAMP,0.2,,,
25/01/1987,3.8,3.4,5.5,3.3,2.8,4.3,4.3,DAMP,0,,,
26/01/1987,2.8,2.1,4,2,-1.3,3.8,3.8,DAMP,0,,,
27/01/1987,2,1.5,5.8,1.5,-0.3,3.5,3.8,DAMP,0,,,
28/01/1987,0,-0.5,3.5,-1.8,-5.3,2.8,3,DAMP,0,,,
29/01/1987,-1,-1.1,5.5,-5,-11,1.5,2,FROZEN,0,,,
30/01/1987,-2.3,-4,4.5,-4.8,-12.3,0.5,0.3,FROZEN,0,,,
31/01/1987,-6.1,-6.6,1.8,-9.8,-15.5,0,0.5,FROZEN,0,,,
01/02/1987,-6.5,-6.9,3.8,-8.8,-14.3,-0.5,0.3,FROZEN,0,,,
02/02/1987,3.5,3,4.5,-6.5,-7.5,0,0.3,DAMP,0.8,,,
03/02/1987,6,5.8,6.3,3,1.5,0.3,0.5,DAMP,0.4,,,
04/02/1987,7,6.5,9.3,5.5,4,2.5,2.8,DAMP,0,,,
05/02/1987,7.8,6.8,9.5,6.3,4.5,4.5,4,DAMP,0,,, 
06/02/1987,10.8,9.9,11,7.5,6.8,6,5.5,DAMP,0,,,
07/02/1987,4.5,3.2,12,2,-3.8,4,4.5,DAMP,0.2,,,
08/02/1987,9.8,9,9.5,4,-0.5,6,5.5,DAMP,0,,,
09/02/1987,9.5,9,12.5,8.5,4.8,7,6.5,DAMP,2.4,,,
10/02/1987,5.6,3.7,9.5,4.5,1,5.5,5.8,DAMP,0.2,,,
11/02/1987,4.5,4,8.8,-0.3,-4.5,4,4.3,DAMP,0.6,,,
12/02/1987,4,3.4,8,2.3,-0.8,4.8,4.8,DAMP,0.9,,,
13/02/1987,-0.2,-0.5,5,-3.3,-8.3,2.5,3.5,FROZEN,0,,,
14/02/1987,2.4,2,6.3,-0.8,-0.3,3.8,3.8,WET,14.9,,,
15/02/1987,1.3,0,4.3,-1.5,-7.3,2.8,3.3,FROZEN,0.5,,,
16/02/1987,0,-0.6,5.5,-3.3,-9.3,1.8,2.3,FROZEN,0,,,
17/02/1987,0.8,-0.1,3,-1.3,-5,2,2.5,SNOW,0.1,,,
18/02/1987,0.2,-0.7,3.3,-1.3,-5.3,2,2.5,FROZEN,0,,,
19/02/1987,-1.3,-2,3.5,-4.3,-10.5,1.8,2,FROZEN,0.4,,,
20/02/1987,-0.3,-1.6,3.8,-2.5,-8.8,1.3,1.8,FROZEN,0,,,
21/02/1987,1.8,0.1,3,-1.3,-6.5,1.3,1.3,FROZEN,0,,,
22/02/1987,4.7,3.7,5.8,1.8,0.8,3.3,2.8,DAMP,0.4,,,
23/02/1987,2.7,1.7,6.8,-0.8,-6.8,2.3,2.5,FROZEN,0.4,,,
24/02/1987,2,1.3,4.5,-0.8,-5,2.3,2.5,DAMP,0,,,
25/02/1987,-0.2,-1.6,4.5,-4,-9.5,1.5,1.8,FROZEN,0,,,
26/02/1987,3,0.1,5.8,-1.5,-5.8,2,2,DAMP,0,,,
27/02/1987,10.8,9.8,10.8,2.8,4.5,5.8,5,WET,5.8,,,
28/02/1987,11.9,10.4,11.8,9.5,5.5,7,6.3,WET,6.6,,,
01/03/1987,9.2,8.8,14.5,7.5,3.8,7,6.5,WET,5.6,,,
02/03/1987,7.1,5.4,11.3,6.8,6,7.3,7.3,DAMP,1.4,,,
03/03/1987,1.3,-0.7,9.5,0.3,-1.3,5,5.5,DAMP,0,,,
04/03/1987,-0.2,0,2.8,-3.3,-7.3,3.8,4,SNOW,0.9,,,
05/03/1987,3.5,2.9,3.5,-0.8,-5.8,3.5,3.5,DAMP,0.2,,,
06/03/1987,3.2,1.7,8.3,1.8,-0.5,4.8,4.8,DAMP,1,,,
07/03/1987,3.1,0.1,3.5,1,-0.5,4,4,DAMP,4.8,,,
08/03/1987,0.9,0.4,3.8,0.3,-0.5,3.5,3.8,SNOW,7.4,,,
09/03/1987,2.7,1,4,-0.8,-6.3,2.5,3,DAMP,0,,,
10/03/1987,2.1,0.4,4.5,-1.5,-7,2,2.5,FROZEN,0,,,
11/03/1987,1.5,0,7,-2.3,-8.8,2,2.5,FROZEN,0,,,
12/03/1987,-0.6,1,7,-3.5,-11,1.5,2,FROZEN,0,,,
13/03/1987,0.4,-0.6,7.5,-5.5,-12.5,1.5,2,FROZEN,0,,,
14/03/1987,-0.6,-1.5,5.5,-4.5,-11,1,1.5,FROZEN,0,,,
15/03/1987,5.8,4.7,6.3,-2.8,-8.3,2,2,DAMP,0,,,
16/03/1987,3.5,2.1,8,0.8,-5.3,2.8,2.8,DAMP,0,,,
17/03/1987,8,6.3,7.8,3.5,2.5,5,4.8,DAMP,0,,,
18/03/1987,4.6,1.9,12.3,3.3,-1.3,4.8,5,DAMP,2.8,,,
19/03/1987,3.2,0.3,8.3,-2,-7.8,3,3.5,DAMP,2.3,,,
20/03/1987,3.2,0.2,7,-0.8,-5,3,3.5,DAMP,0.3,,,
21/03/1987,2.9,1.1,7.8,-2.8,-7.8,3,3.3,DAMP,0,,,
22/03/1987,4.3,3,7.3,-2.5,-9.8,2.5,3,DAMP,0,,,
23/03/1987,9.8,9.2,9.8,4,2.3,6,5.3,DAMP,5,,,
24/03/1987,9.5,9.2,10.8,7.8,6,7.3,6.8,DAMP,6.4,,,
25/03/1987,10.4,10,11.3,9.3,8.8,8.8,7.8,DAMP,5,,,
26/03/1987,9.8,8,10.3,1.8,-3.3,6.8,6.3,DAMP,0.5,,,
27/03/1987,10.8,9,12.3,6.5,5.8,7.5,7.3,WET,10.7,,,
28/03/1987,7,4.5,11.5,3.8,0.3,6.3,6.3,DAMP,1,,,
29/03/1987,4,1.5,8.3,0.8,-3,4.8,5.3,WET,2.2,,,
30/03/1987,9.1,6.8,9,1.3,-5.8,5.8,5.3,DAMP,0.4,,,
31/03/1987,9.3,7,11.3,3.8,-1.3,6.8,6.3,DAMP,0,,,
01/04/1987,8.4,7.8,10.8,7,6.5,7.8,7.5,WET,2.7,,,
02/04/1987,6.8,4.1,8.3,1.8,-1.5,6.5,6.5,DAMP,7,,,
03/04/1987,8.1,6.3,10,3.5,-1,7,6.5,DAMP,0,,,
04/04/1987,8,7.6,9.8,7.8,-4,7.5,7.5,WET,5.4,,,
05/04/1987,6.3,5.9,8.5,2.5,-1.8,7,6.5,DAMP,10.2,,,
06/04/1987,10,8.6,14,6,0,8.5,8,DAMP,0,,,
07/04/1987,9,8.8,12.5,6.8,1,8.3,8.3,WET,13.4,,,
