"","year","month","V1"
"1",2009,12,64.4
"2",2010,1,70
"3",2010,2,95.2
"4",2010,3,48.6
"5",2010,4,21.9
"6",2010,5,32.6
"7",2010,6,4.4
"8",2010,7,34.8
"9",2010,8,95
"10",2010,9,43.6
"11",2010,10,87.6
"12",2010,11,52.4
"13",2010,12,30.4
"14",2011,1,79.3
"15",2011,2,51.7
"16",2011,3,17
"17",2011,4,1.3
"18",2011,5,27.7
"19",2011,6,92.7
"20",2011,7,52
"21",2011,8,76.5
"22",2011,9,42.3
"23",2011,10,26
"24",2011,11,45.5
"25",2011,12,83.5
"26",2012,1,42.1
"27",2012,2,17.8
"28",2012,3,20.2
"29",2012,4,121.5
"30",2012,5,49.7
"31",2012,6,132.8
"32",2012,7,84.7
"33",2012,8,37.7
"34",2012,9,53
"35",2012,10,102.7
"36",2012,11,87
"37",2012,12,113.7
"38",2013,1,64
"39",2013,2,45.5
"40",2013,3,85.6
"41",2013,4,42.3
"42",2013,5,50.9
"43",2013,6,17.1
"44",2013,7,22.5
"45",2013,8,41.1
"46",2013,9,54.5
"47",2013,10,110.7
"48",2013,11,56.1
"49",2013,12,111.6
"50",2014,1,177
"51",2014,2,132.6
"52",2014,3,40.8
"53",2014,4,126.3
"54",2014,5,169.6
"55",2014,6,92.8
"56",2014,7,56.9
"57",2014,8,94.4
"58",2014,9,7.2
"59",2014,10,97.4
"60",2014,11,10.6
"61",2014,12,53.5
"62",2015,1,0
"63",2015,2,15.2
"64",2015,3,27.3
"65",2015,4,20.8
"66",2015,5,52.4
"67",2015,6,17.3
"68",2015,7,72.5
"69",2015,8,111.3
"70",2015,9,79.3
"71",2015,10,55
"72",2015,11,65.7
"73",2015,12,62.2
"74",2016,1,103.6
"75",2016,2,59.4
"76",2016,3,88
"77",2016,4,41.5
"78",2016,5,50.2
"79",2016,6,157.1
"80",2016,7,28.4
"81",2016,8,32.1
"82",2016,9,36.6
"83",2016,10,46
"84",2016,11,92.1
"85",2016,12,12.4
"86",2017,1,76.2
"87",2017,2,46.1
"88",2017,3,39.1
"89",2017,4,3.5
"90",2017,5,88.1
"91",2017,6,49.7
"92",2017,7,94
"93",2017,8,76.4
"94",2017,9,72.5
"95",2017,10,30.3
"96",2017,11,39.3
"97",2017,12,94.2
"98",2018,1,74.3
"99",2018,2,38.2
"100",2018,3,80.6
"101",2018,4,87.3
"102",2018,5,56.4
"103",2018,6,2.8
"104",2018,7,16.7
"105",2018,8,31.1
"106",2018,9,39
"107",2018,10,76.2
"108",2018,11,73
"109",2018,12,73.7
"110",2019,1,34.9
"111",2019,2,49.7
"112",2019,3,60
"113",2019,4,22.5
"114",2019,5,46.8
"115",2019,6,115.9
"116",2019,7,48.9
"117",2019,8,39.6
"118",2019,9,73.9
"119",2019,10,117
"120",2019,11,106.5
"121",2019,12,116.3
"122",2020,1,66.2
"123",2020,2,126
"124",2020,3,50.7
"125",2020,4,38.2
"126",2020,5,13.9
"127",2020,6,65.8
"128",2020,7,42.5
"129",2020,8,76.9
"130",2020,9,8.3
"131",2020,10,96.9
"132",2020,11,66.7
"133",2020,12,74.8
"134",2021,1,38.4
"135",2021,2,82.4
"136",2021,3,30.8
"137",2021,4,12
"138",2021,5,98.5
"139",2021,6,102
"140",2021,7,75.3
"141",2021,8,60.8
"142",2021,9,45.6
"143",2021,10,116.2
"144",2021,11,16.2
"145",2021,12,76.7
"146",2022,1,19.6
"147",2022,2,57.2
"148",2022,3,59.5
"149",2022,4,21
"150",2022,5,45.1
"151",2022,6,33.3
"152",2022,7,6.1
"153",2022,8,49.7
"154",2022,9,50.4
"155",2022,10,85.1
"156",2022,11,150.9
"157",2022,12,54.7
"158",2023,1,79.288
"159",2023,2,0.552
"160",2023,3,6.348
"161",2023,4,86.088
"162",2023,5,46
"163",2023,6,28.25
"164",2023,7,87.25
"165",2023,8,74.5
"166",2023,9,70.534
"167",2023,10,98.986
"168",2023,11,100.006
"169",2023,12,66.878
"170",2024,1,43.056
"171",2024,2,0.184
"172",NA,NA,NA
