"","Month","AirTempMax_oC","AirTempMin_oC","SoilTemp_2in_oC","SoilTemp_4in_oC","TotalMonthRain_mm"
"1","Jan",7.90489177559459,1.42286660854054,4.37246457427027,4.64610691651351,65.4618378378378
"2","Feb",8.60283953502703,1.38125455989189,4.28247240716216,4.54419764343243,52.8797837837838
"3","Mar",11.0746617259189,2.66552571924324,6.0485893635946,6.10197646032432,45.3661621621621
"4","Apr",14.2139424956757,3.72963940164865,9.22818366505405,8.88972194437838,49.3645405405405
"5","May",17.6915170013514,6.75387881432433,13.6040732337838,12.8979197902703,51.9135135135135
"6","Jun",20.6129819821622,9.69312522464865,16.7892522524324,16.0620990994595,52.2608108108108
"7","Jul",22.9356931121622,11.7026129022162,18.3820924156757,17.6733914554054,51.3905405405405
"8","Aug",22.7316743281081,11.5012912729459,17.7045494172973,17.2600546886487,58.9513513513513
"9","Sep",19.6760180178378,9.10164324313513,14.66190991,14.6715315318919,52.3901081081081
"10","Oct",15.4538090659459,6.75214036610811,11.1566791634865,11.5037794244595,79.2725945945946
"11","Nov",10.9951052808108,3.39212326821622,7.608361106,8.03489835340541,69.8434054054054
"12","Dec",8.47252135989189,1.94884742802703,5.30716041848649,5.64065562337838,70.1156216216216
