record,Year,Month,AirTempMax_oC,AirTempMin_oC,SoilTemp_2in_oC,SoilTemp_4in_oC,TotalMonthRain_mm
1,1987,Jan,3.170967742,-2.003225806,2.080645161,2.306451613,26.4
2,1987,Feb,6.871428571,0.55,3.128571429,3.239285714,34.6
3,1987,Mar,8.132258065,1.009677419,4.374193548,4.435483871,57.9
4,1987,Apr,14.92666667,5.58,9.646666667,9.326666667,48.5
5,1987,May,15.60645161,5.948387097,12.70322581,12.35806452,55.1
6,1987,Jun,17.73666667,9.776666667,16.12,15.68666667,86
7,1987,Jul,20.90967742,11.67741935,18.43225806,18.00645161,47.3
8,1987,Aug,21.11290323,11.0516129,17.44516129,17.30322581,53.3
9,1987,Sep,18.66666667,10.26333333,15.39,15.65,57
10,1987,Oct,14.37096774,6.209677419,10.65483871,11.07419355,186.8
11,1987,Nov,9.256666667,3.926666667,7.61,7.9,51.8
12,1987,Dec,8.103225806,3.490322581,5.84516129,6.006451613,19.6
13,1988,Jan,8.209677419,3.016129032,5.667741935,6.003225806,103.1
14,1988,Feb,8.248275862,1.455172414,3.920689655,4.34137931,45.4
15,1988,Mar,9.812903226,3.906451613,6.322580645,6.270967742,60.9
16,1988,Apr,12.80333333,3.593333333,9.22,9.176666667,25.9
17,1988,May,17.31935484,7.506451613,13.99032258,13.63225806,45.3
18,1988,Jun,18.71666667,10.05333333,16.82666667,16.21,33.7
19,1988,Jul,18.91290323,11.55806452,17.00967742,16.73870968,98.9
20,1988,Aug,20.37096774,11.09354839,17.07419355,16.89354839,42
21,1988,Sep,17.73333333,9.48,14.77,14.84,58.3
22,1988,Oct,14.44193548,6.877419355,11.33225806,11.70967742,67.6
23,1988,Nov,8.91,0.676666667,5.62,6.16,16.3
24,1988,Dec,9.916129032,4.941935484,6.719354839,6.932258065,12.5
25,1989,Jan,8.841935484,2.729032258,5.596774194,5.9,30.1
26,1989,Feb,9.482142857,2.214285714,5.103571429,5.214285714,54.5
27,1989,Mar,11.91935484,4.290322581,6.861290323,6.983870968,72.5
28,1989,Apr,11.09333333,3.13,8.4,8.373333333,74.4
29,1989,May,20.40322581,7.690322581,15.0483871,14.46451613,20.6
30,1989,Jun,21.23666667,9.076666667,16.94666667,16.33333333,25.8
31,1989,Jul,25.09354839,12.85806452,19.3483871,18.71612903,57.5
32,1989,Aug,23.02580645,11.16129032,17.53548387,17.40967742,51.8
33,1989,Sep,20.13333333,10.63,15.68,15.88,22.7
34,1989,Oct,15.80967742,8.34516129,12.1483871,12.76451613,81.8
35,1989,Nov,10.29,2.486666667,7.216666667,8.016666667,17.4
36,1989,Dec,8.7,3.280645161,5.864516129,6.080645161,133.5
37,1990,Jan,9.44516129,3.967741935,6.012903226,6.216129032,83.6
38,1990,Feb,11.02857143,5.042857143,6.375,6.446428571,111
39,1990,Mar,12.48709677,4.438709677,7.287096774,7.396774194,9.1
40,1990,Apr,13.8,2.65,8.52,8.666666667,27
41,1990,May,20.16129032,6.406451613,13.21612903,13.22580645,6.2
42,1990,Jun,18.51666667,9.49,14.74,14.54,40.6
43,1990,Jul,24.02580645,11.2516129,17.11612903,17.12903226,11.8
44,1990,Aug,25.32580645,12.63548387,18.12258065,17.67419355,27.5
45,1990,Sep,18.96,8.266666667,14.05333333,14.32666667,15.9
46,1990,Oct,16.03548387,8.703225806,11.16774194,11.83870968,60.5
47,1990,Nov,10.21333333,4.246666667,6.85,7.68,31.6
48,1990,Dec,7.080645161,2.064516129,4.138709677,4.651612903,66.7
49,1991,Jan,6.980645161,1.44516129,3.303225806,3.6,71.3
50,1991,Feb,4.817857143,-1.753571429,1.835714286,2.010714286,47
51,1991,Mar,12.02258065,4.506451613,6.812903226,6.777419355,32.2
52,1991,Apr,13.14333333,3.803333333,8.18,8.053333333,54.9
53,1991,May,15.58064516,6.332258065,11.31290323,10.91935484,13
54,1991,Jun,16.88,8.803333333,13.83,13.51,84
55,1991,Jul,22.64193548,13.09354839,18.16774194,17.96129032,74.4
56,1991,Aug,23.52580645,12.91612903,18.01935484,18.15806452,20.8
57,1991,Sep,21.13666667,9.226666667,14.81333333,15.44666667,44.5
58,1991,Oct,13.81290323,6.341935484,10.59032258,11.11935484,17.8
59,1991,Nov,10.38,3.593333333,7.026666667,7.396666667,63.5
60,1991,Dec,7.774193548,0.532258065,3.948387097,4.251612903,12.2
61,1992,Jan,6.964516129,0.664516129,3.774193548,4.016129032,11.6
62,1992,Feb,8.686206897,1.720689655,4.282758621,4.403448276,20.8
63,1992,Mar,11.47741935,4.590322581,6.9,6.829032258,54.4
64,1992,Apr,13.35,4.69,8.433333333,8.383333333,62.3
65,1992,May,20.45806452,8.264516129,13.90645161,13.87096774,49.7
66,1992,Jun,21.48333333,9.93,16.44,16.28333333,25.9
67,1992,Jul,21.42580645,12.76129032,17.8516129,17.80645161,73.1
68,1992,Aug,21.4,12.6,17.43225806,17.31612903,102.9
69,1992,Sep,18.04,9.93,14.23,14.46,78.5
70,1992,Oct,12.18064516,4.270967742,9.309677419,9.922580645,51.6
71,1992,Nov,11.53333333,4.613333333,7.37,7.7,92.6
72,1992,Dec,7.493548387,0.790322581,4.393548387,4.648387097,57.4
73,1993,Jan,10.11935484,3.183870968,5.335483871,5.403225806,77.7
74,1993,Feb,6.985714286,1.939285714,5.025,5.396428571,3.7
75,1993,Mar,11.20967742,1.835483871,5.570967742,5.638709677,10.4
76,1993,Apr,14.17,5.386666667,9.48,9.373333333,97.9
77,1993,May,17.79354839,8.038709677,14.05806452,13.17741935,28.6
78,1993,Jun,21.1,10.56333333,18.02,16.77666667,48.7
79,1993,Jul,21.11935484,11.77096774,19.02258065,17.42903226,56.1
80,1993,Aug,20.9516129,9.783870968,17.59677419,16.24193548,29.4
81,1993,Sep,17.25,7.68,14.42333333,13.82333333,118.1
82,1993,Oct,12.85483871,5.961290323,9.55483871,9.94516129,143.2
83,1993,Nov,8.443333333,1.71,5.633333333,6.28,38
84,1993,Dec,8.970967742,3.538709677,5.370967742,5.619354839,94.1
85,1994,Jan,8.825806452,2.596774194,4.548387097,4.667741935,107.4
86,1994,Feb,7.217857143,0.460714286,3.4,3.610714286,53.9
87,1994,Mar,11.80645161,4.870967742,7.25483871,6.977419355,33.4
88,1994,Apr,12.61666667,4.673333333,9.18,8.496666667,73.6
89,1994,May,16.23225806,6.577419355,14.27096774,13.2,91.2
90,1994,Jun,20.86,10.15333333,17.88666667,16.24,19.7
91,1994,Jul,25.51935484,13.42258065,21.39032258,19.31935484,22.8
92,1994,Aug,22.38064516,12.5,18.98709677,17.67419355,29.6
93,1994,Sep,17.13666667,9.7,14.58333333,14.44,116.1
94,1994,Oct,14.88064516,6.048387097,11.11290323,11.22580645,73.5
95,1994,Nov,13.26,8.16,10.32666667,10.49,65
96,1994,Dec,10.1516129,3.232258065,6.735483871,7.074193548,78.6
97,1995,Jan,8.309677419,1.990322581,4.406451613,4.751612903,128.1
98,1995,Feb,10.43928571,4.410714286,6.160714286,6.175,87
99,1995,Mar,10.66774194,1.135483871,5.190322581,5.306451613,54.1
100,1995,Apr,14.79666667,5.53,10.76666667,9.726666667,23.4
101,1995,May,18.53870968,6.003225806,14.64516129,12.58064516,32
102,1995,Jun,20.11333333,9.35,17.65333333,15.09666667,8.2
103,1995,Jul,25.90645161,12.88387097,21.40967742,18.68387097,21.4
104,1995,Aug,27.27096774,12.73225806,22.94193548,19.77741935,1.7
105,1995,Sep,18.36333333,9.1,15.54666667,14.78333333,96.4
106,1995,Oct,17.83548387,8.367741935,12.81935484,12.69677419,30.4
107,1995,Nov,11.52666667,3.786666667,7.21,7.973333333,39.1
108,1995,Dec,5.512903226,0.403225806,3.906451613,4.658064516,101.9
109,1996,Jan,7.019354839,1.629032258,4.625806452,4.783870968,49.4
110,1996,Feb,6.065517241,-2.051724138,2.048275862,2.586206897,59.6
111,1996,Mar,8.487096774,0.190322581,4.396774194,4.532258065,37.6
112,1996,Apr,13.99666667,2.826666667,8.876666667,8.023333333,33
113,1996,May,14.38709677,2.596774194,12.41612903,10.57741935,27.7
114,1996,Jun,21.93666667,6.763333333,17.84666667,15.82333333,8.8
115,1996,Jul,23.26451613,9.148387097,19.10322581,16.97741935,37.3
116,1996,Aug,22.24516129,9.096774194,17.37419355,16.71290323,72.5
117,1996,Sep,18.45666667,7.136666667,14.02666667,13.85,12
