YEAR,MONTH,DATE,MAX Temperature,MIN Temperature ,Avg Temperature,Total Rainfall (mm),Relative Air Humidity (%),Average Solar Radiation (W/m2),fAPAR (%),Latitude ,Elevation,Soil Moisture ,Vapor Pressure Deficit (Pa)
1987,Jan,1987-Jan,3.17,-2,0.58387,26.4,88.85777921,25.95869901,0.176746,51.414,112,1,70.99186394
1987,Feb,1987-Feb,6.87,0.55,3.71071,34.6,85.76200112,46.94594828,0.20720878,51.414,112,1,113.4369029
1987,Mar,1987-Mar,8.13,1.01,4.57097,57.9,78.55482012,90.31758225,0.21286913,51.414,112,1,181.5099763
1987,Apr,1987-Apr,14.93,5.58,10.25333,48.5,75.36928227,146.3668175,0.313313955,51.414,112,1,307.578537
1987,May,1987-May,15.61,5.95,10.77742,55.1,75.76751892,176.681957,0.486984876,51.414,112,1,313.3759543
1987,Jun,1987-Jun,17.74,9.78,13.75667,86,78.893255,168.1080894,0.592294555,51.414,112,1,332.067852
1987,Jul,1987-Jul,20.91,11.68,16.29355,47.3,75.14591327,155.0395404,0.538543731,51.414,112,1,460.3865883
1987,Aug,1987-Aug,21.11,11.05,16.08226,53.3,79.33699446,149.3560807,0.479517574,51.414,112,1,377.6294707
1987,Sep,1987-Sep,18.67,10.26,14.465,57,80.38382481,112.3012273,0.456859212,51.414,112,1,323.1210923
1987,Oct,1987-Oct,14.37,6.21,10.29032,186.8,84.19009258,65.39292582,0.390126106,51.414,112,1,197.9166881
1987,Nov,1987-Nov,9.26,3.93,6.59167,51.8,87.73911727,28.64238095,0.1237884,51.414,112,1,119.4152088
1987,Dec,1987-Dec,8.1,3.49,5.79677,19.6,87.49704893,15.54644864,0.222144795,51.414,112,1,115.2625495
1988,Jan,1988-Jan,8.21,3.02,5.6129,103.1,86.58027899,22.51469288,0.215109678,51.414,112,1,122.1454568
1988,Feb,1988-Feb,8.25,1.46,4.85172,45.4,78.68951743,63.58141898,0.217268996,51.414,112,1,183.9481994
1988,Mar,1988-Mar,9.81,3.91,6.85968,60.9,77.53288338,81.91817736,0.273513847,51.414,112,1,222.8925989
1988,Apr,1988-Apr,12.8,3.59,8.19833,25.9,74.83310217,136.5825304,0.330165806,51.414,112,1,273.6064489
1988,May,1988-May,17.32,7.51,12.4129,45.3,75.96947625,182.0774881,0.517564656,51.414,112,1,346.2736981
1988,Jun,1988-Jun,18.72,10.05,14.385,33.7,77.38727616,166.9923841,0.574242353,51.414,112,1,370.5585268
