"","MAX.Temperature","MIN.Temperature","Avg.Temperature","Total.Rainfall..mm.","Relative.Air.Humidity....","Average.Solar.Radiation..W.m2.","fAPAR....","Latitude","Elevation","Soil.Moisture","CO2","es","ea","vpd","ppfd","alpha"
"1",3.17,-2,0.58387,26.4,88.85777921,25.95869901,0.176746,51.414,112,1,348.73,0.637142857574723,0.566150993636032,70.9918639386908,133.143454773761,0.324582146688209
"2",6.87,0.55,3.71071,34.6,85.76200112,46.94594828,0.20720878,51.414,112,1,348.92,0.796719425541638,0.683282522656278,113.436902885361,240.788097247155,0.37064068097735
"3",8.13,1.01,4.57097,57.9,78.55482012,90.31758225,0.21286913,51.414,112,1,349.81,0.846390551927424,0.664880575579263,181.509976348161,463.24335911233,0.430374181800732
"4",14.93,5.58,10.25333,48.5,75.36928227,146.3668175,0.313313955,51.414,112,1,351.4,1.24875994421554,0.941181407230505,307.578536985035,750.722666751648,0.482224465356004
"5",15.61,5.95,10.77742,55.1,75.76751892,176.681957,0.486984876,51.414,112,1,352.15,1.29320622714321,0.979830272825354,313.375954317861,906.210520878067,0.512629526048501
"6",17.74,9.78,13.75667,86,78.893255,168.1080894,0.592294555,51.414,112,1,351.58,1.57327836218242,1.2412105101364,332.067852046021,862.234728693834,0.558483189945774
"7",20.91,11.68,16.29355,47.3,75.14591327,155.0395404,0.538543731,51.414,112,1,350.21,1.85235769591793,1.39197110762466,460.386588293271,795.205492672804,0.577317254228424
"8",21.11,11.05,16.08226,53.3,79.33699446,149.3560807,0.479517574,51.414,112,1,348.2,1.82756312956165,1.44993365885333,377.629470708321,766.054745971903,0.562403857467407
"9",18.67,10.26,14.465,57,80.38382481,112.3012273,0.456859212,51.414,112,1,346.66,1.64721761071781,1.32409651843887,323.121092278938,575.998564962574,0.516704311936772
"10",14.37,6.21,10.29032,186.8,84.19009258,65.39292582,0.390126106,51.414,112,1,346.72,1.25185229040865,1.05393560225989,197.916688148758,335.403560019901,0.449426620364805
"11",9.26,3.93,6.59167,51.8,87.73911727,28.64238095,0.1237884,51.414,112,1,348.08,0.973952784544274,0.854537575785731,119.415208758543,146.908192554645,0.405052166665158
"12",8.1,3.49,5.79677,19.6,87.49704893,15.54644864,0.222144795,51.414,112,1,349.28,0.921882752898301,0.806620203380657,115.262549517643,79.7385061784125,0.394821364152272
"13",8.21,3.02,5.6129,103.1,86.58027899,22.51469288,0.215109678,51.414,112,1,350.51,0.910193711641112,0.788048254888311,122.145456752801,115.478976510287,0.386231513300846
"14",8.25,1.46,4.85172,45.4,78.68951743,63.58141898,0.217268996,51.414,112,1,351.7,0.863181764166696,0.679233564766534,183.948199400162,326.112251586801,0.399562175441665
"15",9.81,3.91,6.85968,60.9,77.53288338,81.91817736,0.273513847,51.414,112,1,352.5,0.99208368703512,0.769191088100944,222.892598934176,420.162394821037,0.430111428555728
"16",12.8,3.59,8.19833,25.9,74.83310217,136.5825304,0.330165806,51.414,112,1,353.67,1.08716795655394,0.813561507687513,273.60644886643,700.538572915108,0.479483015108562
"17",17.32,7.51,12.4129,45.3,75.96947625,182.0774881,0.517564656,51.414,112,1,354.35,1.44097441098759,1.09470071292379,346.273698063795,933.88446750831,0.531485518501521
"18",18.72,10.05,14.385,33.7,77.38727616,166.9923841,0.574242353,51.414,112,1,353.88,1.63871689850547,1.26815837172702,370.558526778456,856.512220871151,0.555728171482635
"19",18.91,11.56,15.23548,98.9,78.72857693,157.1179203,0.536440202,51.414,112,1,352.8,1.7310889342819,1.36286168335285,368.227250929058,805.865606267547,0.566048848780202
"20",20.37,11.09,15.73226,42,76.20246915,144.7496111,0.498422322,51.414,112,1,350.49,1.78713073773378,1.36183774909175,425.292988642029,742.427934912611,0.553043518550911
"21",17.73,9.48,13.60667,58.3,80.48107705,110.899145,0.42661423,51.414,112,1,348.97,1.55799969199492,1.25389493255319,304.104759441726,568.807215302592,0.511362820895835
