Year,Plant_year,PlotID,Latitude,Longitude,TreeID,MarkNumber,Stem,ID,ScientificName,Core,Girth_cm,SapwoodDepth_mm,Bark_mm,radius_05_m,radius_1_m,radius_15_m,radius_2_m,radius_25_m,radius_3_m,radius_13_m,H_m,D_m,As_m2,Ac_m2
2023,1986,1,51.41156,-0.64369,1223,2180,1,1223_2180_1111,Quercus_robur,yes,146.2,35.07,8.2,0.1886607,0.1956984,0.1312851,0.1247277,0.1146909,0.1388109,0.195026,18.12971788,0.4654,0.1701,38.48451001
2023,1988,1,51.41156,-0.64369,1218,2175,1,1218_2175_1111,Quercus_robur,yes,55.8,29.15,5.31,0.08609967,0.0889674,0.08220798,0.06569414,0.05937572,0.04235695,0.08216076,15.01636295,0.1776,0.0248,6.157521601
2023,1992,1,51.41156,-0.64369,1216,2173,1,1216_2173_1111,Quercus_robur,yes,63,23.46,7.46,0.08582705,0.08094602,0.08143306,0.07308623,0.07284149,0.06916216,0.09099313,16.41696688,0.2005,0.0316,11.64156428
2023,1989,1,51.41156,-0.64369,1215,2172,1,1215_2172_1111,Quercus_robur,yes,85,27.42,4.77,0.1339191,0.1253732,0.1234872,0.1276005,0.1087632,0.1064931,0.1272287,18.20335766,0.2706,0.0575,28.27433388
2023,1993,1,51.41156,-0.64369,1214,2171,1,1214_2171_1111,Quercus_robur,yes,97.8,27.44,8.58,0.09757643,0.105287,0.09016741,0.09210548,0.08239619,0.07657374,0.1036616,18.18764004,0.3113,0.0761,21.64753688
2023,1985,1,51.41156,-0.64369,1247,2214,1,1247_2214_1111,Quercus_robur,yes,87.8,27.91,8.52,0.1500926,0.1414112,0.15116,0.1334731,0.1632766,0.2201146,0.1421926,19.25369985,0.2795,0.0613,21.64753688
2023,1996,1,51.41156,-0.64369,1224,5867,1,1224_5867_1111,Quercus_robur,yes,74.6,20.89,8.16,0.09943304,0.09141216,0.1248726,0.08454113,0.09423741,0.07818264,0.1124719,20.78384432,0.2375,0.0443,24.19222693
2023,1989,1,51.41156,-0.64369,1242,2204,1,1242_2204_1111,Quercus_robur,yes,111.4,29.84,6.55,0.1579809,0.1423417,0.1373019,0.1262904,0.1285395,0.1241622,0.1399718,18.17785942,0.3546,0.0988,58.08804816
2023,1992,1,51.41156,-0.64369,1244,2207,1,1244_2207_1111,Quercus_robur,yes,64.6,27.77,8.47,0.1049713,0.1016424,0.09949607,0.1006334,0.09249117,0.07999262,0.09173403,15.92034466,0.2056,0.0332,9.621127502
2023,1989,1,51.41156,-0.64369,1243,5873,1,1243_5873_1111,Quercus_robur,yes,75.2,29.1,7.34,0.1127173,0.1084368,0.102802,0.09672336,0.9382422,0.0913294,0.1051297,15.87802892,0.2394,0.045,22.06183441
2023,1993,1,51.41156,-0.64369,4051,5872,1,4051_5872_1111,Quercus_robur,yes,65.8,28.22,8.95,0.1004231,0.09936678,0.1224439,0.09669401,0.0884732,0.09103578,0.09339708,15.98819294,0.2094,0.0345,27.80505848
2023,1992,1,51.41156,-0.64369,4050,5871,1,4050_5871_1111,Quercus_robur,yes,79.6,27.26,5.3,0.1189189,0.1152631,0.1137336,0.07526122,0.06320003,0.06915133,0.112976,5.187154374,0.2534,0.0504,3.463605901
2023,1993,1,51.41156,-0.64369,4050,5871,2,4050_5871_2222,Quercus_robur,yes,79.6,27.26,5.3,0.1166972,0.113763,0.1153408,0.085469,0.07617927,0.08503034,0.1124711,17.76666943,0.2534,0.0504,27.80505848
2023,1988,1,51.41156,-0.64369,1245,1440,1,1245_1440_1111,Quercus_robur,yes,127.4,31.28,11.95,0.2030713,0.1937319,0.1816932,0.1759727,0.1813369,0.1764274,0.1903476,19.98524117,0.4055,0.1292,86.59014751
2023,1993,1,51.41156,-0.64369,1248,2215,1,1248_2215_1111,Quercus_robur,yes,76.2,23.36,5.69,0.1066631,0.1056618,0.1011727,0.0962967,0.08903927,0.1066198,0.1018233,15.68420578,0.2426,0.0462,67.20063036
2023,1995,1,51.41156,-0.64369,4048,5868,1,4048_5868_1111,Quercus_robur,yes,84,24.1,6.42,0.1345318,0.1081114,0.09754489,0.09754489,0.09464435,0.1035943,0.1042947,19.47722164,0.2674,0.0561,13.8544236
2023,1997,1,51.41156,-0.64369,4049,5869,1,4049_5869_1111,Quercus_robur,yes,63.2,30.84,5.72,0.1337678,0.1061211,0.09575015,0.09765911,0.09745299,0.1037254,0.1034783,18.41962497,0.2012,0.0318,21.64753688
2023,1987,1,51.41156,-0.64369,1246,2212,1,1246_2212_1111,Quercus_robur,yes,64.4,26.04,7.09,0.1001927,0.07510698,0.07125059,0.08472747,0.09533079,0.123005,0.08643988,14.97704251,0.205,0.033,11.64156428
2023,1992,1,51.41156,-0.64369,1251,2218,1,1251_2218_1111,Quercus_robur,yes,100.6,26.37,6.77,0.1407011,0.1418956,0.153253,0.1249543,0.130478,0.1904919,0.1411484,18.72591642,0.3202,0.0805,18.8574099
2023,1993,1,51.41156,-0.64369,4052,5874,1,4052_5874_1111,Quercus_robur,yes,79.2,21.02,4.1,0.1208074,0.1132212,0.09791775,0.08716877,0.08017154,0.08449762,0.1009875,18.8242661,0.2521,0.0499,31.66921744
2023,1986,2,51.41181,-0.64142,683,1411,1,683_1411_1111,Quercus_robur,yes,97,29.47,6.73,0.1229466,0.1195809,0.09932471,0.1042596,0.09941546,0.1223088,0.1077837,19.05198245,0.3088,0.0749,4.908738521
2023,1981,2,51.41181,-0.64142,682,1410,1,682_1410_1111,Quercus_robur,yes,99.4,16.96,4.71,0.2314305,0.234399,0.2279097,0.2275508,0.2104395,0.2072954,0.2309794,20.5212086,0.3164,0.0786,23.75829444
2023,1974,2,51.41181,-0.64142,680,1408,1,680_1408_1111,Quercus_robur,yes,126.2,32.6,7.35,0.2168551,0.1994021,0.1905993,0.1964334,0.1936184,0.192275,0.1993734,22.3039175,0.4017,0.1267,47.17297719
2023,1986,2,51.41181,-0.64142,1372,2397,1,1372_2397_1111,Quercus_robur,yes,69.6,15.56,4.88,0.09290995,0.09024856,0.08791067,0.08786283,0.08756017,0.08702642,0.08768912,11.60069084,0.2215,0.0385,11.04466167
2023,1974,2,51.41181,-0.64142,1681,2807,1,1681_2807_1111,Quercus_robur,yes,134.4,30.83,9.1,0.1575522,0.1518455,0.1476146,0.1335228,0.1261168,0.1316966,0.1483172,23.77654572,0.4278,0.1437,47.17297719
2023,1981,2,51.41181,-0.64142,1704,2836,1,1704_2836_1111,Quercus_robur,yes,111.4,38.98,6.16,0.1729357,0.1566575,0.1495986,0.1443666,0.1433734,0.1342133,0.1547839,23.18253034,0.3546,0.0988,41.28249096
