Year,Width,Age,ID,Plot
2023,1.693333333,37,1223_2180_1111,1
2022,0.804333333,36,1223_2180_1111,1
2021,1.016,35,1223_2180_1111,1
2020,1.354666667,34,1223_2180_1111,1
2019,1.608666667,33,1223_2180_1111,1
2018,2.201333333,32,1223_2180_1111,1
2017,3.302,31,1223_2180_1111,1
2016,2.836333333,30,1223_2180_1111,1
2015,2.963333333,29,1223_2180_1111,1
2014,3.259666667,28,1223_2180_1111,1
2013,2.963333333,27,1223_2180_1111,1
2012,3.683,26,1223_2180_1111,1
2011,4.402666667,25,1223_2180_1111,1
2010,7.154333333,24,1223_2180_1111,1
2009,6.688666667,23,1223_2180_1111,1
2008,5.037666667,22,1223_2180_1111,1
2007,3.894666667,21,1223_2180_1111,1
2006,5.249333333,20,1223_2180_1111,1
2005,6.646333333,19,1223_2180_1111,1
2004,5.418666667,18,1223_2180_1111,1
2003,7.112,17,1223_2180_1111,1
2002,4.783666667,16,1223_2180_1111,1
2001,3.386666667,15,1223_2180_1111,1
2000,3.979333333,14,1223_2180_1111,1
1999,4.318,13,1223_2180_1111,1
1998,0.254,12,1223_2180_1111,1
1997,4.741333333,11,1223_2180_1111,1
1996,3.640666667,10,1223_2180_1111,1
1995,6.942666667,9,1223_2180_1111,1
1994,5.630333333,8,1223_2180_1111,1
1993,4.529666667,7,1223_2180_1111,1
1992,4.064,6,1223_2180_1111,1
1991,7.577666667,5,1223_2180_1111,1
1990,7.112,4,1223_2180_1111,1
1989,2.159,3,1223_2180_1111,1
1988,5.842,2,1223_2180_1111,1
1987,5.291666667,1,1223_2180_1111,1
2023,1.524,35,1218_2175_1111,1
2022,1.439333333,34,1218_2175_1111,1
2021,1.566333333,33,1218_2175_1111,1
2020,1.227666667,32,1218_2175_1111,1
2019,1.820333333,31,1218_2175_1111,1
2018,1.312333333,30,1218_2175_1111,1
2017,1.397,29,1218_2175_1111,1
2016,0.846666667,28,1218_2175_1111,1
2015,0.973666667,27,1218_2175_1111,1
2014,1.058333333,26,1218_2175_1111,1
2013,1.100666667,25,1218_2175_1111,1
2012,0.973666667,24,1218_2175_1111,1
2011,0.508,23,1218_2175_1111,1
2010,1.312333333,22,1218_2175_1111,1
2009,1.439333333,21,1218_2175_1111,1
2008,1.439333333,20,1218_2175_1111,1
2007,1.735666667,19,1218_2175_1111,1
2006,2.201333333,18,1218_2175_1111,1
2005,2.074333333,17,1218_2175_1111,1
2004,2.201333333,16,1218_2175_1111,1
2003,2.455333333,15,1218_2175_1111,1
2002,2.243666667,14,1218_2175_1111,1
2001,2.201333333,13,1218_2175_1111,1
2000,2.54,12,1218_2175_1111,1
1999,2.709333333,11,1218_2175_1111,1
1998,2.667,10,1218_2175_1111,1
1997,2.455333333,9,1218_2175_1111,1
1996,2.751666667,8,1218_2175_1111,1
1995,2.751666667,7,1218_2175_1111,1
1994,3.005666667,6,1218_2175_1111,1
1993,2.878666667,5,1218_2175_1111,1
1992,2.286,4,1218_2175_1111,1
1991,1.100666667,3,1218_2175_1111,1
1990,3.767666667,2,1218_2175_1111,1
1989,3.471333333,1,1218_2175_1111,1
2023,0.973666667,31,1216_2173_1111,1
2022,1.016,30,1216_2173_1111,1
2021,0.635,29,1216_2173_1111,1
2020,0.762,28,1216_2173_1111,1
2019,0.804333333,27,1216_2173_1111,1
2018,0.804333333,26,1216_2173_1111,1
2017,0.550333333,25,1216_2173_1111,1
2016,0.592666667,24,1216_2173_1111,1
2015,0.592666667,23,1216_2173_1111,1
2014,0.889,22,1216_2173_1111,1
2013,1.312333333,21,1216_2173_1111,1
2012,1.566333333,20,1216_2173_1111,1
2011,0.677333333,19,1216_2173_1111,1
2010,1.016,18,1216_2173_1111,1
2009,1.016,17,1216_2173_1111,1
2008,1.143,16,1216_2173_1111,1
2007,1.27,15,1216_2173_1111,1
2006,1.651,14,1216_2173_1111,1
2005,1.778,13,1216_2173_1111,1
2004,2.963333333,12,1216_2173_1111,1
2003,4.021666667,11,1216_2173_1111,1
2002,2.794,10,1216_2173_1111,1
2001,4.191,9,1216_2173_1111,1
2000,3.132666667,8,1216_2173_1111,1
1999,5.545666667,7,1216_2173_1111,1
1998,6.265333333,6,1216_2173_1111,1
1997,6.477,5,1216_2173_1111,1
1996,5.503333333,4,1216_2173_1111,1
1995,4.106333333,3,1216_2173_1111,1
1994,3.048,2,1216_2173_1111,1
1993,3.302,1,1216_2173_1111,1
2023,1.693333333,34,1215_2172_1111,1
2022,1.820333333,33,1215_2172_1111,1
2021,1.651,32,1215_2172_1111,1
2020,1.566333333,31,1215_2172_1111,1
2019,1.481666667,30,1215_2172_1111,1
2018,1.905,29,1215_2172_1111,1
2017,1.735666667,28,1215_2172_1111,1
2016,2.032,27,1215_2172_1111,1
2015,2.370666667,26,1215_2172_1111,1
2014,2.582333333,25,1215_2172_1111,1
2013,1.989666667,24,1215_2172_1111,1
2012,1.905,23,1215_2172_1111,1
2011,1.989666667,22,1215_2172_1111,1
