YEAR,MONTH,DAY,DATE,MAX Temperature,MIN Temperature ,Avg Temperature,Total Rainfall (mm),Relative Air Humidity (%),Average Solar Radiation (W/m2),fAPAR (%),Latitude ,Elevation,Soil Moisture 
1987,1,1,1987/1/1,3.17,-2,0.58387,26.4,88.85777921,25.95869901,0.176746,51.414,112,1
1987,2,1,1987/2/1,6.87,0.55,3.71071,34.6,85.76200112,46.94594828,0.20720878,51.414,112,1
1987,3,1,1987/3/1,8.13,1.01,4.57097,57.9,78.55482012,90.31758225,0.21286913,51.414,112,1
1987,4,1,1987/4/1,14.93,5.58,10.25333,48.5,75.36928227,146.3668175,0.313313955,51.414,112,1
1987,5,1,1987/5/1,15.61,5.95,10.77742,55.1,75.76751892,176.681957,0.486984876,51.414,112,1
1987,6,1,1987/6/1,17.74,9.78,13.75667,86,78.893255,168.1080894,0.592294555,51.414,112,1
1987,7,1,1987/7/1,20.91,11.68,16.29355,47.3,75.14591327,155.0395404,0.538543731,51.414,112,1
1987,8,1,1987/8/1,21.11,11.05,16.08226,53.3,79.33699446,149.3560807,0.479517574,51.414,112,1
1987,9,1,1987/9/1,18.67,10.26,14.465,57,80.38382481,112.3012273,0.456859212,51.414,112,1
1987,10,1,1987/10/1,14.37,6.21,10.29032,186.8,84.19009258,65.39292582,0.390126106,51.414,112,1
1987,11,1,1987/11/1,9.26,3.93,6.59167,51.8,87.73911727,28.64238095,0.1237884,51.414,112,1
1987,12,1,1987/12/1,8.1,3.49,5.79677,19.6,87.49704893,15.54644864,0.222144795,51.414,112,1
1988,1,1,1988/1/1,8.21,3.02,5.6129,103.1,86.58027899,22.51469288,0.215109678,51.414,112,1
1988,2,1,1988/2/1,8.25,1.46,4.85172,45.4,78.68951743,63.58141898,0.217268996,51.414,112,1
1988,3,1,1988/3/1,9.81,3.91,6.85968,60.9,77.53288338,81.91817736,0.273513847,51.414,112,1
1988,4,1,1988/4/1,12.8,3.59,8.19833,25.9,74.83310217,136.5825304,0.330165806,51.414,112,1
1988,5,1,1988/5/1,17.32,7.51,12.4129,45.3,75.96947625,182.0774881,0.517564656,51.414,112,1
1988,6,1,1988/6/1,18.72,10.05,14.385,33.7,77.38727616,166.9923841,0.574242353,51.414,112,1
1988,7,1,1988/7/1,18.91,11.56,15.23548,98.9,78.72857693,157.1179203,0.536440202,51.414,112,1
1988,8,1,1988/8/1,20.37,11.09,15.73226,42,76.20246915,144.7496111,0.498422322,51.414,112,1
1988,9,1,1988/9/1,17.73,9.48,13.60667,58.3,80.48107705,110.899145,0.42661423,51.414,112,1
1988,10,1,1988/10/1,14.44,6.88,10.65968,67.6,87.69388394,64.76219649,0.386170864,51.414,112,1
1988,11,1,1988/11/1,8.91,0.68,4.79333,16.3,88.32284957,36.52820515,0.265238359,51.414,112,1
1988,12,1,1988/12/1,9.92,4.94,7.42903,12.5,88.04163536,16.58910692,0.218067546,51.414,112,1
1989,1,1,1989/1/1,8.84,2.73,5.78548,30.1,86.68881398,24.44615552,0.215109678,51.414,112,1
1989,2,1,1989/2/1,9.48,2.21,5.84821,54.5,82.50175198,57.30219816,0.207430009,51.414,112,1
1989,3,1,1989/3/1,11.92,4.29,8.10484,72.5,80.3037033,87.27687975,0.24488623,51.414,112,1
1989,4,1,1989/4/1,11.09,3.13,7.11167,74.4,76.84501063,133.8186568,0.355380588,51.414,112,1
1989,5,1,1989/5/1,20.4,7.69,14.04677,20.6,65.72655753,225.0176465,0.496611183,51.414,112,1
1989,6,1,1989/6/1,21.24,9.08,15.15667,25.8,63.51312412,220.9538264,0.572639803,51.414,112,0.882729005
1989,7,1,1989/7/1,25.09,12.86,18.97581,57.5,67.14629802,202.05808,0.470335248,51.414,112,0.686604934
1989,8,1,1989/8/1,23.03,11.16,17.09355,51.8,69.25393741,168.4876876,0.466284771,51.414,112,0.630464793
1989,9,1,1989/9/1,20.13,10.63,15.38167,22.7,75.69998472,105.9520107,0.40858562,51.414,112,0.640715345
1989,10,1,1989/10/1,15.81,8.35,12.07742,81.8,82.68531468,60.47596065,0.185854605,51.414,112,0.870694293
1989,11,1,1989/11/1,10.29,2.49,6.38833,17.4,89.05157272,36.88255566,0.234075228,51.414,112,1
1989,12,1,1989/12/1,8.7,3.28,5.99032,133.5,90.13090941,14.26641417,0.222144795,51.414,112,1
1990,1,1,1990/1/1,9.45,3.97,6.70645,83.6,86.62335941,22.91865982,0.196487893,51.414,112,1
1990,2,1,1990/2/1,11.03,5.04,8.03571,111,78.77606455,51.72714857,0.206327517,51.414,112,1
1990,3,1,1990/3/1,12.49,4.44,8.4629,9.1,73.34080656,107.8652,0.242112302,51.414,112,1
1990,4,1,1990/4/1,13.8,2.65,8.225,27,68.58390971,173.9850451,0.32254206,51.414,112,1
1990,5,1,1990/5/1,20.16,6.41,13.28387,6.2,65.54919658,213.102251,0.50576639,51.414,112,0.896379569
1990,6,1,1990/6/1,18.52,9.49,14.00333,40.6,70.30367647,164.1477798,0.544034912,51.414,112,0.666311137
1990,7,1,1990/7/1,24.03,11.25,17.63871,11.8,62.57904906,206.9996827,0.463571996,51.414,112,0.430808576
1990,8,1,1990/8/1,25.33,12.64,18.98065,27.5,67.58107169,172.8949286,0.435414175,51.414,112,0.28231024
1990,9,1,1990/9/1,18.96,8.27,13.61333,15.9,72.18614435,110.3721052,0.393406451,51.414,112,0.26787184
1990,10,1,1990/10/1,16.04,8.7,12.36935,60.5,80.35829369,67.53905746,0.390126106,51.414,112,0.421062808
1990,11,1,1990/11/1,10.21,4.25,7.23,31.6,87.54588393,35.85586912,0.262507541,51.414,112,0.653153634
1990,12,1,1990/12/1,7.08,2.06,4.57258,66.7,85.12195248,19.36583044,0.222144795,51.414,112,0.907715305
1991,1,1,1991/1/1,6.98,1.45,4.2129,71.3,82.62558452,26.99850473,0.215109678,51.414,112,1
1991,2,1,1991/2/1,4.82,-1.75,1.53214,47,89.85042061,48.54089697,0.121505538,51.414,112,1
1991,3,1,1991/3/1,12.02,4.51,8.26452,32.2,81.15071772,87.70498817,0.24488623,51.414,112,1
1991,4,1,1991/4/1,13.14,3.8,8.47333,54.9,71.0534798,156.8825397,0.325772392,51.414,112,1
1991,5,1,1991/5/1,15.58,6.33,10.95645,13,73.35073381,152.3367882,0.452227276,51.414,112,1
1991,6,1,1991/6/1,16.88,8.8,12.84167,84,74.01661092,163.3140546,0.625497591,51.414,112,1
1991,7,1,1991/7/1,22.64,13.09,17.86774,74.4,75.81537993,176.4613127,0.542100711,51.414,112,1
1991,8,1,1991/8/1,23.53,12.92,18.22097,20.8,74.55585792,164.2056913,0.466907705,51.414,112,1
1991,9,1,1991/9/1,21.14,9.23,15.18167,44.5,80.54023585,126.2801022,0.397399,51.414,112,1
1991,10,1,1991/10/1,13.81,6.34,10.07742,17.8,84.97792914,63.8251517,0.390126106,51.414,112,1
1991,11,1,1991/11/1,10.38,3.59,6.98667,63.5,86.61781517,30.60415131,0.262507541,51.414,112,1
1991,12,1,1991/12/1,7.77,0.53,4.15323,12.2,88.22215756,21.17454701,0.222144795,51.414,112,1
